acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
1.45,-5.53,-7.77,-0.0447467064680949,0.009249062755023,0.160188877541751,-139.63551670559374,16.55875139620892,-14.500119080393963
1.45,-5.53,-7.77,-0.0447467064680949,0.009249062755023,0.160188877541751,-139.63551670559374,16.55875139620892,-14.500119080393963
1.54,-5.6,-7.79,0.0339424347919121,-0.0044865528021884,0.0899361634210755,-139.60231554875963,16.581911426258042,-14.58098330322708
1.54,-5.6,-7.79,0.0339424347919121,-0.0044865528021884,0.0899361634210755,-139.60231554875963,16.581911426258042,-14.58098330322708
1.54,-5.58,-7.91,-0.0244387134192989,0.0693126287105694,0.0050838746918824,-139.5359915492729,16.63981448789728,-14.696516297153034
1.54,-5.58,-7.91,-0.0244387134192989,0.0693126287105694,0.0050838746918824,-139.5359915492729,16.63981448789728,-14.696516297153034
1.68,-5.68,-8.05,0.0601528189910087,0.1072646160202399,-0.1869567533457364,-139.46977154097462,16.674558377811383,-14.823619947246296
1.68,-5.68,-8.05,0.0601528189910087,0.1072646160202399,-0.1869567533457364,-139.46977154097462,16.674558377811383,-14.823619947246296
1.79,-5.65,-8.02,0.1453523809523809,0.149308842023049,-0.1634843799893293,-139.40365501423122,16.720885966499374,-14.962299399917931
1.79,-5.65,-8.02,0.1453523809523809,0.149308842023049,-0.1634843799893293,-139.40365501423122,16.720885966499374,-14.962299399917931
1.85,-5.67,-8.09,0.1696423032574763,0.1865999305340118,-0.2410314218440579,-139.37063539830643,16.744050792597328,-15.043205913037664
1.85,-5.67,-8.09,0.1696423032574763,0.1865999305340118,-0.2410314218440579,-139.37063539830643,16.744050792597328,-15.043205913037664
1.73,-5.6,-8.17,0.0153917520587751,0.23999441873451,-0.2454127620874367,-139.37063539830643,16.755633464025784,-15.066323443247011
1.73,-5.6,-8.17,0.0153917520587751,0.23999441873451,-0.2454127620874367,-139.37063539830643,16.755633464025784,-15.066323443247011
1.67,-5.62,-7.99,0.021127315490231,0.113625615907015,-0.1029434758167493,-139.33764146351638,16.755633464025784,-15.077882439571027
1.67,-5.62,-7.99,0.021127315490231,0.113625615907015,-0.1029434758167493,-139.33764146351638,16.755633464025784,-15.077882439571027
1.69,-5.67,-7.94,0.0641131579371361,0.0556826254009417,-0.0949351735067036,-139.33764146351638,16.755633464025784,-15.089441590206311
1.69,-5.67,-7.94,0.0641131579371361,0.0556826254009417,-0.0949351735067036,-139.33764146351638,16.755633464025784,-15.089441590206311
1.66,-5.68,-7.91,0.0485675323097942,0.0177761256668373,-0.0717823252306395,-139.37063539830643,16.744050792597328,-15.089441590206311
1.66,-5.68,-7.91,0.0485675323097942,0.0177761256668373,-0.0717823252306395,-139.37063539830643,16.744050792597328,-15.089441590206311
1.66,-5.69,-7.87,0.0669719607245873,-0.0098592254610783,-0.0454572645475206,-139.40365501423122,16.767216307875252,-15.077882439571027
1.66,-5.69,-7.87,0.0669719607245873,-0.0098592254610783,-0.0454572645475206,-139.40365501423122,16.767216307875252,-15.077882439571027
1.5,-5.61,-7.78,-0.0645086054947613,-0.0477961668671258,0.0987123113737524,-139.37063539830643,16.778799324271787,-15.066323443247011
1.5,-5.61,-7.78,-0.0645086054947613,-0.0477961668671258,0.0987123113737524,-139.37063539830643,16.778799324271787,-15.066323443247011
1.57,-5.59,-7.96,-0.0646601870284219,0.0760643579388054,-0.0454885127120903,-139.40365501423122,16.801965875210325,-15.089441590206311
1.57,-5.59,-7.96,-0.0646601870284219,0.0760643579388054,-0.0454885127120903,-139.40365501423122,16.801965875210325,-15.089441590206311
1.59,-5.64,-7.97,-0.0464044268512487,0.0461354530107791,-0.0854841554360312,-139.37063539830643,16.813549410004512,-15.135679738336451
1.59,-5.64,-7.97,-0.0464044268512487,0.0461354530107791,-0.0854841554360312,-139.37063539830643,16.813549410004512,-15.135679738336451
1.7,-5.66,-7.9,0.075636230786063,0.0311573160994922,-0.0588914642200961,-139.37063539830643,16.825133117850115,-15.18192036535379
1.7,-5.66,-7.9,0.075636230786063,0.0311573160994922,-0.0588914642200961,-139.37063539830643,16.825133117850115,-15.18192036535379
1.71,-5.65,-7.9,0.083164077918776,0.0434369704623596,-0.0547797627545332,-139.33764146351638,16.83671699887327,-15.18192036535379
1.71,-5.65,-7.9,0.083164077918776,0.0434369704623596,-0.0547797627545332,-139.33764146351638,16.83671699887327,-15.18192036535379
1.58,-5.58,-7.94,-0.062822926690669,0.0712205075891589,-0.0253071255768198,-139.37063539830643,16.848301053200124,-15.18192036535379
1.58,-5.58,-7.94,-0.062822926690669,0.0712205075891589,-0.0253071255768198,-139.37063539830643,16.848301053200124,-15.18192036535379
1.59,-5.53,-7.79,-0.01820346702516,0.0421161294545622,0.1220749001090411,-139.33764146351638,16.883054257264604,-15.216602467156427
1.59,-5.53,-7.79,-0.01820346702516,0.0421161294545622,0.1220749001090411,-139.33764146351638,16.883054257264604,-15.216602467156427
1.5,-5.46,-7.63,-0.0691001228121028,-0.0120253901407663,0.3054089987928758,-139.3046731473042,16.894639006068054,-15.262847451308849
1.5,-5.46,-7.63,-0.0691001228121028,-0.0120253901407663,0.3054089987928758,-139.3046731473042,16.894639006068054,-15.262847451308849
1.33,-5.31,-7.53,-0.2451620157254411,0.0051570433962724,0.5004279420997655,-139.1730548258568,16.906223928806188,-15.401597439742238
1.33,-5.31,-7.53,-0.2451620157254411,0.0051570433962724,0.5004279420997655,-139.1730548258568,16.906223928806188,-15.401597439742238
1.29,-5.37,-7.12,-0.1729538563509368,-0.2498702654056029,0.8009267189947753,-138.9763854221543,16.906223928806188,-15.656031584502133
1.29,-5.37,-7.12,-0.1729538563509368,-0.2498702654056029,0.8009267189947753,-138.9763854221543,16.906223928806188,-15.656031584502133
1.32,-5.15,-6.38,-0.0479574293692994,-0.4246105535213598,1.5128748666360268,-138.48861330559183,17.02208275037734,-16.489275388774946
1.32,-5.15,-6.38,-0.0479574293692994,-0.4246105535213598,1.5128748666360268,-138.48861330559183,17.02208275037734,-16.489275388774946
2.17,-5.9,-6.33,0.5691759922065398,-0.6941024940812475,0.9307241092770546,-136.9320256088512,17.474100846214462,-18.855062255560348
2.17,-5.9,-6.33,0.5691759922065398,-0.6941024940812475,0.9307241092770546,-136.9320256088512,17.474100846214462,-18.855062255560348
1.24,-5.35,-5.72,-0.4266697265596738,-0.964514420231664,1.9475046980220112,-135.54829362030736,17.984399539927896,-21.473869337236096
1.24,-5.35,-5.72,-0.4266697265596738,-0.964514420231664,1.9475046980220112,-135.54829362030736,17.984399539927896,-21.473869337236096
2.27,-5.23,-6.33,-0.17072197590741,-0.2032323079448703,1.2917072147577129,-133.82293398949477,18.634392500869453,-24.303310245881057
2.27,-5.23,-6.33,-0.17072197590741,-0.2032323079448703,1.2917072147577129,-133.82293398949477,18.634392500869453,-24.303310245881057
2.73,-5.23,-6.51,-0.41714633686914,-0.0249679272611205,1.031043722582757,-131.34342588798634,19.38960938592485,-28.422768181257144
2.73,-5.23,-6.51,-0.41714633686914,-0.0249679272611205,1.031043722582757,-131.34342588798634,19.38960938592485,-28.422768181257144
3.69,-5.62,-6.76,-0.1154637322303033,0.1613896979109781,0.2746658680394542,-129.51205087236005,19.773350749034485,-31.185744677827834
3.69,-5.62,-6.76,-0.1154637322303033,0.1613896979109781,0.2746658680394542,-129.51205087236005,19.773350749034485,-31.185744677827834
4.46,-5.75,-6.61,0.1259435263455338,0.2905318941379686,-0.0191288213790112,-127.40350962041992,20.18059415638896,-34.267106355147284
