,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,785266.0,494.074924,1.0,8.8,0.76,3.78,-21.69,-21.19,-14.0,-2.38,-2.56,-1.25,0.11870849684390905,0.15162761833979466,0.20097889600452312,-67.61439507717935,0.5385823103159236,-111.86945684906635,-0.0653,-0.5564,0.0047,-0.8284
1,785266.0,494.074924,1.0,8.8,0.76,3.78,-21.69,-21.19,-14.0,-2.38,-2.56,-1.25,0.11870849684390905,0.15162761833979466,0.20097889600452312,-67.61439507717935,0.5385823103159236,-111.86945684906635,-0.0653,-0.5564,0.0047,-0.8284
2,785301.0,494.083872,1.0,8.84,0.67,3.68,-22.37,-22.37,-12.75,1.0,0.12,-0.19,0.025895125226410003,0.04613073023244535,0.20799898028802488,-67.62818664851126,0.5156637559929028,-111.82855209706509,-0.0654,-0.5565,0.0045,-0.8282
3,785301.0,494.083872,1.0,8.84,0.67,3.68,-22.37,-22.37,-12.75,1.0,0.12,-0.19,0.025895125226410003,0.04613073023244535,0.20799898028802488,-67.62818664851126,0.5156637559929028,-111.82855209706509,-0.0654,-0.5565,0.0045,-0.8282
4,785338.0,494.08842599999997,1.0,8.94,0.65,3.71,-21.69,-21.56,-13.56,0.94,0.56,0.56,0.01884673197109777,0.017312411080314668,0.1056425739067386,-67.62818664851126,0.4927452222969898,-111.82855209706509,-0.0652,-0.5565,0.0043,-0.8282
5,785338.0,494.08842599999997,1.0,8.94,0.65,3.71,-21.69,-21.56,-13.56,0.94,0.56,0.56,0.01884673197109777,0.017312411080314668,0.1056425739067386,-67.62818664851126,0.4927452222969898,-111.82855209706509,-0.0652,-0.5565,0.0043,-0.8282
6,785373.0,494.0956,1.0,8.96,0.54,3.66,-21.69,-21.56,-13.56,1.12,-0.81,-0.31,-0.02032652307816356,-0.1013987696325464,0.11345108932161453,-67.64197933171232,0.4583674584234223,-111.82855209706509,-0.0651,-0.5566,0.004,-0.8282
7,785373.0,494.0956,1.0,8.96,0.54,3.66,-21.69,-21.56,-13.56,1.12,-0.81,-0.31,-0.02032652307816356,-0.1013987696325464,0.11345108932161453,-67.64197933171232,0.4583674584234223,-111.82855209706509,-0.0651,-0.5566,0.004,-0.8282
8,785408.0,494.13820599999997,1.0,8.92,0.59,3.6,-22.75,-22.0,-14.38,-0.81,-0.5,-0.37,-0.06230983214317445,-0.05008211394346607,0.16983988115459425,-67.66956803559746,0.4812859628976946,-111.80810781092319,-0.0652,-0.5568,0.0042,-0.8281
9,785408.0,494.13820599999997,1.0,8.92,0.59,3.6,-22.75,-22.0,-14.38,-0.81,-0.5,-0.37,-0.06230983214317445,-0.05008211394346607,0.16983988115459425,-67.66956803559746,0.4812859628976946,-111.80810781092319,-0.0652,-0.5568,0.0042,-0.8281
10,785442.0,494.154487,1.0,8.87,0.67,3.7,-22.0,-20.06,-14.0,-1.81,-0.81,-0.12,0.03996229294565176,0.04556581338147847,0.17274493653827785,-67.66956803559746,0.5271230305187238,-111.78766891146809,-0.0655,-0.5568,0.0046,-0.828
11,785442.0,494.154487,1.0,8.87,0.67,3.7,-22.0,-20.06,-14.0,-1.81,-0.81,-0.12,0.03996229294565176,0.04556581338147847,0.17274493653827785,-67.66956803559746,0.5271230305187238,-111.78766891146809,-0.0655,-0.5568,0.0046,-0.828
12,785477.0,494.157656,1.0,8.93,0.65,3.64,-21.69,-22.0,-15.19,-0.06,0.19,1.06,-0.03547125460325306,0.017382199962918732,0.14148369779798742,-67.66956803559746,0.5385823103159236,-111.78766891146809,-0.0654,-0.5568,0.0047,-0.828
13,785477.0,494.157656,1.0,8.93,0.65,3.64,-21.69,-22.0,-15.19,-0.06,0.19,1.06,-0.03547125460325306,0.017382199962918732,0.14148369779798742,-67.66956803559746,0.5385823103159236,-111.78766891146809,-0.0654,-0.5568,0.0047,-0.828
14,785514.0,494.19725300000005,1.0,9.13,0.26,3.33,-21.69,-22.0,-15.19,1.63,-1.37,2.5,-0.3417740765265795,-0.4008427002173425,0.09913149060240656,-67.73855928586947,0.5615008861828721,-111.74680725300392,-0.0645,-0.5573,0.0049,-0.8278
15,785514.0,494.19725300000005,1.0,9.13,0.26,3.33,-21.69,-22.0,-15.19,1.63,-1.37,2.5,-0.3417740765265795,-0.4008427002173425,0.09913149060240656,-67.73855928586947,0.5615008861828721,-111.74680725300392,-0.0645,-0.5573,0.0049,-0.8278
