,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,546979.0,295.998746,1.0,3.44,6.91,6.11,12.88,-30.06,-14.38,-0.94,0.12,0.0,0.02054146157209313,0.3752612125658264,-0.030654359970780483,-44.989651826175965,-24.39709288880459,-99.63621890239712,-0.4746,-0.3826,-0.2113,-0.764
1,546979.0,295.998746,1.0,3.44,6.91,6.11,12.88,-30.06,-14.38,-0.94,0.12,0.0,0.02054146157209313,0.3752612125658264,-0.030654359970780483,-44.989651826175965,-24.39709288880459,-99.63621890239712,-0.4746,-0.3826,-0.2113,-0.764
2,547016.0,296.022657,1.0,4.27,6.78,5.91,12.88,-29.37,-13.56,4.56,0.94,3.38,-0.2709586721342496,-0.4266819842138211,-0.13688678940962085,-44.989651826175965,-24.467440757791284,-99.7250605850298,-0.4735,-0.3826,-0.2119,-0.7645
3,547016.0,296.022657,1.0,4.27,6.78,5.91,12.88,-29.37,-13.56,4.56,0.94,3.38,-0.2709586721342496,-0.4266819842138211,-0.13688678940962085,-44.989651826175965,-24.467440757791284,-99.7250605850298,-0.4735,-0.3826,-0.2119,-0.7645
4,547049.0,296.1335,1.0,3.65,6.45,6.15,12.88,-29.37,-13.56,3.69,-3.75,2.13,0.2975154884647808,-0.0034234186791515238,0.18069691397635346,-45.200580565791434,-24.50261820231894,-99.6717457818497,-0.4725,-0.3843,-0.2122,-0.7642
5,547049.0,296.1335,1.0,3.65,6.45,6.15,12.88,-29.37,-13.56,3.69,-3.75,2.13,0.2975154884647808,-0.0034234186791515238,0.18069691397635346,-45.200580565791434,-24.50261820231894,-99.6717457818497,-0.4725,-0.3843,-0.2122,-0.7642
6,547086.0,296.180623,1.0,3.63,6.89,5.9,12.5,-29.69,-13.56,-1.44,1.75,4.13,-0.1355854955722603,0.2229926783617504,0.039823962909572685,-45.25023432294885,-24.479166312304468,-99.74283872407179,-0.4717,-0.3847,-0.212,-0.7646
7,547086.0,296.180623,1.0,3.63,6.89,5.9,12.5,-29.69,-13.56,-1.44,1.75,4.13,-0.1355854955722603,0.2229926783617504,0.039823962909572685,-45.25023432294885,-24.479166312304468,-99.74283872407179,-0.4717,-0.3847,-0.212,-0.7646
8,547121.0,296.236938,1.0,3.94,6.98,5.86,13.56,-29.37,-15.25,4.13,3.81,7.19,-0.29787286157790804,-0.001247322419677399,-0.11780818181134654,-45.225406324165256,-24.52607113458515,-99.92080048347364,-0.4701,-0.3845,-0.2124,-0.7656
9,547121.0,296.236938,1.0,3.94,6.98,5.86,13.56,-29.37,-15.25,4.13,3.81,7.19,-0.29787286157790804,-0.001247322419677399,-0.11780818181134654,-45.225406324165256,-24.52607113458515,-99.92080048347364,-0.4701,-0.3845,-0.2124,-0.7656
