acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
4.53,-5.14,-7.02,0.0231956526528055,0.0591055262240791,-0.0023697521703365,-112.36201050539012,-47.995403677336114,-11.443790822449785
4.53,-5.14,-7.02,0.0231956526528055,0.0591055262240791,-0.0023697521703365,-112.36201050539012,-47.995403677336114,-11.443790822449785
4.58,-5.2,-7.12,0.0287266437451019,0.0800235326200642,-0.1283170867178089,-112.32084385114356,-48.02049166769566,-11.420757981123572
4.58,-5.2,-7.12,0.0287266437451019,0.0800235326200642,-0.1283170867178089,-112.32084385114356,-48.02049166769566,-11.420757981123572
4.51,-5.25,-6.97,-0.0671592768173657,2.4355381929019866e-06,-0.0157218943812882,-112.2796992436405,-48.03303658033746,-11.37469368630907
4.51,-5.25,-6.97,-0.0671592768173657,2.4355381929019866e-06,-0.0157218943812882,-112.2796992436405,-48.03303658033746,-11.37469368630907
4.66,-5.33,-6.99,-0.0140676963484056,-0.1056115075402086,-0.1418799572044555,-112.2796992436405,-48.007947366775134,-11.31711591010567
4.66,-5.33,-6.99,-0.0140676963484056,-0.1056115075402086,-0.1418799572044555,-112.2796992436405,-48.007947366775134,-11.31711591010567
4.27,-5.22,-6.89,-0.1769878626085836,0.0999282564134795,0.1675582564766795,-112.2796992436405,-48.007947366775134,-11.178940913568928
4.27,-5.22,-6.89,-0.1769878626085836,0.0999282564134795,0.1675582564766795,-112.2796992436405,-48.007947366775134,-11.178940913568928
4.4,-5.14,-6.88,-0.0394741014341946,0.0428371957716673,0.1572662492118528,-112.32084385114356,-47.982860599138895,-11.213483126166134
4.4,-5.14,-6.88,-0.0394741014341946,0.0428371957716673,0.1572662492118528,-112.32084385114356,-47.982860599138895,-11.213483126166134
4.56,-5.19,-6.88,0.0414163076974174,-0.0689808232366093,0.0568999347171832,-112.32084385114356,-47.94523502960248,-11.155913338134187
4.56,-5.19,-6.88,0.0414163076974174,-0.0689808232366093,0.0568999347171832,-112.32084385114356,-47.94523502960248,-11.155913338134187
4.26,-5.17,-6.85,-0.143118324602408,0.0864999795253709,0.226930019817642,-112.32084385114356,-48.02049166769566,-11.09834637461124
4.26,-5.17,-6.85,-0.143118324602408,0.0864999795253709,0.226930019817642,-112.32084385114356,-48.02049166769566,-11.09834637461124
4.54,-5.18,-7.01,0.0603898917523431,0.0350768116849931,-0.0208228530917917,-112.32084385114356,-47.95777627551156,-11.109859542072414
4.54,-5.18,-7.01,0.0603898917523431,0.0350768116849931,-0.0208228530917917,-112.32084385114356,-47.95777627551156,-11.109859542072414
4.41,-5.25,-6.81,-0.09653218287078,-0.0494349258088786,0.1435791772345744,-112.2796992436405,-47.97031813194389,-11.063807546045703
4.41,-5.25,-6.81,-0.09653218287078,-0.0494349258088786,0.1435791772345744,-112.2796992436405,-47.97031813194389,-11.063807546045703
