acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
1.7,0.03,-9.61,-0.0828563526002799,-0.0478943611593849,0.0478672400958277,-156.58711361479934,20.786119068432164,-10.361732200036483
1.7,0.03,-9.61,-0.0828563526002799,-0.0478943611593849,0.0478672400958277,-156.58711361479934,20.786119068432164,-10.361732200036483
2.01,-0.1,-9.67,0.2227612501619373,-0.057907860504607,-0.0678638667743065,-156.58711361479934,20.786119068432164,-10.442277914805905
2.01,-0.1,-9.67,0.2227612501619373,-0.057907860504607,-0.0678638667743065,-156.58711361479934,20.786119068432164,-10.442277914805905
1.89,-0.28,-9.7,0.171695451860612,-0.2607544170434394,-0.0747986693906757,-156.58711361479934,20.751169149926103,-10.430771068314456
1.89,-0.28,-9.7,0.171695451860612,-0.2607544170434394,-0.0747986693906757,-156.58711361479934,20.751169149926103,-10.430771068314456
1.95,0.07,-9.78,0.0905713166474559,0.0703288504620074,-0.1654435961007418,-156.58711361479934,20.762818905741057,-10.430771068314456
1.95,0.07,-9.78,0.0905713166474559,0.0703288504620074,-0.1654435961007418,-156.58711361479934,20.762818905741057,-10.430771068314456
2.21,0.25,-9.88,0.2453329552983404,0.3155818762499873,-0.3126987844044162,-156.58711361479934,20.751169149926103,-10.4537848668845
2.21,0.25,-9.88,0.2453329552983404,0.3155818762499873,-0.3126987844044162,-156.58711361479934,20.751169149926103,-10.4537848668845
1.8,-0.05,-9.65,0.0180977286045261,-0.0861060568929194,-0.0095232981435167,-156.6436585308699,20.70457229377833,-10.430771068314456
1.8,-0.05,-9.65,0.0180977286045261,-0.0861060568929194,-0.0095232981435167,-156.6436585308699,20.70457229377833,-10.430771068314456
1.81,-0.1,-9.66,0.0487276606081067,-0.1264996718431415,-0.0210314889431213,-156.6436585308699,20.73951961095484,-10.396251161173767
1.81,-0.1,-9.66,0.0487276606081067,-0.1264996718431415,-0.0210314889431213,-156.6436585308699,20.73951961095484,-10.396251161173767
1.93,0.17,-9.72,0.0551499539813624,0.1604497524985163,-0.1031135874676181,-156.6436585308699,20.762818905741057,-10.384744735841709
1.93,0.17,-9.72,0.0551499539813624,0.1604497524985163,-0.1031135874676181,-156.6436585308699,20.762818905741057,-10.384744735841709
1.63,-0.04,-9.6,-0.1209485016142002,-0.1228981961763259,0.0706976843128526,-156.70033876277134,20.669626923426364,-10.350226089325556
1.63,-0.04,-9.6,-0.1209485016142002,-0.1228981961763259,0.0706976843128526,-156.70033876277134,20.669626923426364,-10.350226089325556
1.71,-0.01,-9.62,-0.0602580446571033,-0.0640112948006044,0.0362420493465549,-156.70033876277134,20.681275164117206,-10.338720083250598
1.71,-0.01,-9.62,-0.0602580446571033,-0.0640112948006044,0.0362420493465549,-156.70033876277134,20.681275164117206,-10.338720083250598
2.04,0.11,-9.73,0.1709631138100429,0.1599698777653652,-0.1327554777901145,-156.70033876277134,20.69292362085707,-10.396251161173767
2.04,0.11,-9.73,0.1709631138100429,0.1599698777653652,-0.1327554777901145,-156.70033876277134,20.69292362085707,-10.396251161173767
1.71,-0.17,-9.76,-0.0411578768882005,-0.2021923460535503,-0.1013278100461772,-156.75715530060586,20.63468349632429,-10.396251161173767
1.71,-0.17,-9.76,-0.0411578768882005,-0.2021923460535503,-0.1013278100461772,-156.75715530060586,20.63468349632429,-10.396251161173767
1.91,-0.08,-9.77,0.1049037073326657,-0.0478729978949733,-0.1479521210423264,-156.75715530060586,20.63468349632429,-10.419264327291232
