acc_x,acc_y,acc_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z
0.8,-0.11,-9.94,0.1435496691743197,-0.0157414452836713,-0.1650522468272814,-148.26644461114088,-31.459467480314125,-3.438262641755622
0.8,-0.11,-9.94,0.1435496691743197,-0.0157414452836713,-0.1650522468272814,-148.26644461114088,-31.459467480314125,-3.438262641755622
0.62,-0.16,-9.88,-0.0170099392023737,0.0300329173390486,-0.0940170828709572,-148.30838490049834,-31.43565821002521,-3.346549205454908
0.62,-0.16,-9.88,-0.0170099392023737,0.0300329173390486,-0.0940170828709572,-148.30838490049834,-31.43565821002521,-3.346549205454908
0.64,-0.06,-9.96,0.060869788743321,0.1012232465201619,-0.1733724810960382,-148.30838490049834,-31.43565821002521,-3.266301709643329
0.64,-0.06,-9.96,0.060869788743321,0.1012232465201619,-0.1733724810960382,-148.30838490049834,-31.43565821002521,-3.266301709643329
0.46,-0.24,-9.62,-0.1549097480295788,0.0322588776768305,0.17396800925742,-148.30838490049834,-31.459467480314125,-3.1860558160551733
0.46,-0.24,-9.62,-0.1549097480295788,0.0322588776768305,0.17396800925742,-148.30838490049834,-31.459467480314125,-3.1860558160551733
0.8,-0.39,-10.1,0.0335748677408609,-0.2316094766052796,-0.3297857531926773,-148.26644461114088,-31.47137263789784,-3.2204467196467967
0.8,-0.39,-10.1,0.0335748677408609,-0.2316094766052796,-0.3297857531926773,-148.26644461114088,-31.47137263789784,-3.2204467196467967
0.39,0.12,-9.7,-0.0267564313651173,0.3766935882721616,0.1054188392691486,-148.30838490049834,-31.43565821002521,-3.163128706652845
0.39,0.12,-9.7,-0.0267564313651173,0.3766935882721616,0.1054188392691486,-148.30838490049834,-31.43565821002521,-3.163128706652845
0.61,-0.18,-9.96,-0.0126920458888085,0.0372117305067926,-0.1735581240364823,-148.30838490049834,-31.459467480314125,-3.2204467196467967
0.61,-0.18,-9.96,-0.0126920458888085,0.0372117305067926,-0.1735581240364823,-148.30838490049834,-31.459467480314125,-3.2204467196467967
0.56,-0.37,-9.88,-0.151872511124997,-0.0984390200945238,-0.0944683459085755,-148.30838490049834,-31.459467480314125,-3.2319104185008167
0.56,-0.37,-9.88,-0.151872511124997,-0.0984390200945238,-0.0944683459085755,-148.30838490049834,-31.459467480314125,-3.2319104185008167
0.69,-0.11,-9.97,0.0790226389734675,0.0553701065672124,-0.1873376712865937,-148.30838490049834,-31.423754097001943,-3.2892294003721183
0.69,-0.11,-9.97,0.0790226389734675,0.0553701065672124,-0.1873376712865937,-148.30838490049834,-31.423754097001943,-3.2892294003721183
